City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
499,Belmonte,BR,-15.8631,-38.8828,66.7,85,63,7.34,broken clouds
500,Molokovo,RU,58.1661,36.7628,59.58,66,100,3.91,overcast clouds
501,Vestmannaeyjar,IS,63.4427,-20.2734,50.49,79,98,17.38,overcast clouds
502,Chihuahua,MX,28.5,-106.0,72.43,45,97,6.64,overcast clouds
503,Guayata,CO,4.9642,-73.4875,61.05,98,92,2.48,overcast clouds
504,Oranjestad,AW,12.524,-70.027,82.35,83,40,10.36,scattered clouds
505,Algodones,MX,20.3888,-105.4773,79.14,88,82,4.92,broken clouds
506,Palana,RU,59.1167,159.9667,55.29,87,95,14.29,overcast clouds
507,Marzuq,YE,14.4,46.4667,72.23,79,57,6.87,broken clouds
508,Ipira,BR,-12.1583,-39.7372,63.07,92,0,5.37,clear sky
509,Kathmandu,NP,27.7167,85.3167,73.62,94,75,2.3,broken clouds
510,Laramie,US,41.3114,-105.5911,69.73,60,1,4.0,clear sky
511,Taperoa,BR,-7.2075,-36.8267,65.17,96,43,9.8,scattered clouds
512,Moussoro,TD,13.6408,16.4901,77.45,75,100,4.5,overcast clouds
513,Ulladulla,AU,-35.35,150.4667,61.88,54,83,14.76,broken clouds
514,Whitehorse,CA,60.7161,-135.0538,66.97,35,75,3.0,broken clouds
515,Wewak,PG,-3.5534,143.6268,87.73,59,40,3.47,scattered clouds
516,Beringovskiy,RU,63.05,179.3167,49.75,93,99,6.13,overcast clouds
517,Colesberg,ZA,-30.72,25.0972,34.84,43,39,5.3,scattered clouds
518,Honiara,SB,-9.4333,159.95,83.95,72,88,7.87,overcast clouds
519,Rakhiv,UA,48.0526,24.2009,64.89,70,70,3.53,broken clouds
520,Nicoya,CR,10.1483,-85.452,74.75,89,100,2.55,overcast clouds
521,Bam,IR,29.106,58.357,90.01,11,39,21.54,scattered clouds
522,Korla,CN,41.7597,86.1469,94.53,11,0,12.77,clear sky
523,San Policarpo,PH,12.1791,125.5072,90.64,55,100,11.83,overcast clouds
524,Dakar,SN,14.6937,-17.4441,80.73,78,40,4.61,scattered clouds
525,Port Moresby,PG,-9.4431,147.1797,80.02,83,75,5.75,haze
526,Dingle,PH,10.9995,122.6711,87.71,65,97,16.42,overcast clouds
527,Okhotsk,RU,59.3833,143.3,58.37,91,99,0.94,overcast clouds
528,Acari,PE,-15.4311,-74.6158,63.43,80,22,3.42,few clouds
529,Vao,NC,-22.6667,167.4833,70.59,63,87,18.79,overcast clouds
530,Garmsar,IR,35.2182,52.3409,88.84,30,0,7.05,clear sky
531,Hualmay,PE,-11.0964,-77.6139,63.41,85,13,10.96,few clouds
532,Silistea,RO,44.3833,25.35,67.39,61,3,5.21,clear sky
533,Chodavaram,IN,17.8333,82.95,84.04,57,58,6.82,broken clouds
534,Klyuchi,RU,52.2667,79.1667,77.56,56,0,15.7,clear sky
535,Guanica,PR,17.9716,-66.908,80.94,85,100,1.01,overcast clouds
536,Cota,CO,4.8094,-74.098,49.98,93,40,4.61,scattered clouds
537,Tabou,CI,4.423,-7.3528,76.17,75,51,7.76,broken clouds
538,Bengkulu,ID,-3.8004,102.2655,83.79,58,2,2.33,clear sky
539,Mbanza-Ngungu,CD,-5.25,14.8667,63.88,87,62,4.16,broken clouds
540,Wamba,NG,8.9333,8.6,70.54,96,99,1.86,light rain
541,Daura,NG,11.5538,11.4085,73.89,83,100,8.52,light rain
542,Zdvinsk,RU,54.7021,78.661,65.08,82,100,14.43,overcast clouds
543,Jiwani,PK,25.05,61.7417,83.25,87,54,8.23,broken clouds
544,Mayumba,GA,-3.432,10.6554,69.35,95,32,3.58,scattered clouds
545,Necochea,AR,-38.5473,-58.7368,44.01,87,4,9.64,clear sky
546,Huilong,CN,31.8111,121.655,80.04,92,100,29.42,light rain
547,Laguna,US,38.421,-121.4238,94.82,32,1,5.01,clear sky
548,Andros,GR,37.8333,24.9333,76.41,69,0,13.0,clear sky
549,Ouango,CF,4.3133,22.5552,69.64,98,100,1.12,light rain
550,Valleyview,CA,55.0667,-117.2859,63.43,60,99,6.29,overcast clouds
551,Abu Samrah,SY,35.3029,37.1841,77.18,59,0,4.47,clear sky
552,Sur,OM,22.5667,59.5289,90.48,56,95,8.93,overcast clouds
553,Russell,US,32.3502,-85.1999,81.63,91,40,0.0,scattered clouds
554,Kaeo,NZ,-35.1,173.7833,58.17,84,38,11.12,scattered clouds
555,Riyadh,SA,24.6877,46.7219,89.65,22,0,2.3,clear sky
556,Lata,PT,40.1629,-8.3327,66.04,95,95,2.84,overcast clouds
557,Cody,US,44.5263,-109.0565,85.3,24,1,4.61,clear sky
558,Am Timan,TD,11.0297,20.2827,71.17,89,100,5.44,overcast clouds
559,Karratha,AU,-20.7377,116.8463,79.18,31,70,3.58,broken clouds
560,Puebla,MX,18.8333,-98.0,60.17,75,100,8.61,overcast clouds
561,New Glasgow,CA,45.5834,-62.6486,62.78,82,100,7.38,overcast clouds
562,Alice Springs,AU,-23.7,133.8833,74.21,21,6,11.99,clear sky
563,Qaqortoq,GL,60.7167,-46.0333,46.9,71,99,0.54,overcast clouds
564,Bull Savanna,JM,17.8868,-77.5902,76.5,85,64,6.24,broken clouds
565,Camacha,PT,33.0833,-16.3333,69.53,94,75,8.05,broken clouds
566,Belyy Yar,RU,53.6039,91.3903,73.29,73,0,6.71,clear sky
567,Sesheke,ZM,-17.4759,24.2968,46.72,68,0,8.12,clear sky
568,Luba,GQ,3.4568,8.5547,75.09,80,87,6.51,overcast clouds
569,Kattivakkam,IN,13.2167,80.3167,87.89,60,100,15.68,overcast clouds
570,Quibor,VE,9.9287,-69.6201,71.28,92,100,1.03,overcast clouds
571,Yakovlevka,RU,44.425,133.4772,91.92,40,99,3.47,overcast clouds
572,Felanitx,ES,39.4696,3.1483,74.01,80,60,7.45,broken clouds
573,Uige,AO,-7.6087,15.0613,60.71,61,24,1.5,few clouds
574,Fort Saint James,CA,54.4333,-124.25,62.01,67,100,2.37,overcast clouds
575,Ekhabi,RU,53.5102,142.9671,78.51,65,100,10.09,overcast clouds
576,Dunmore Town,BS,25.5,-76.65,82.62,76,88,14.79,overcast clouds
577,Tuyen Quang,VN,21.8233,105.2181,79.21,84,100,2.28,overcast clouds
578,Mananjary,MG,-21.2167,48.3333,63.36,78,100,7.92,overcast clouds
579,Blackwater,AU,-23.5833,148.8833,71.2,22,13,1.34,few clouds
580,Izumo,JP,35.3667,132.7667,91.29,55,20,6.91,few clouds
581,Soyo,AO,-6.1349,12.3689,70.66,94,21,3.62,few clouds
582,Lucapa,AO,-8.4192,20.7447,60.46,40,100,4.47,overcast clouds
583,Alcobendas,ES,40.5475,-3.642,69.37,91,0,3.44,clear sky
584,Araouane,ML,18.9048,-3.5265,93.79,34,14,11.63,few clouds
585,Sambava,MG,-14.2667,50.1667,65.34,83,26,11.79,scattered clouds
586,Troitsko-Pechorsk,RU,62.7084,56.1964,53.69,76,100,5.03,overcast clouds
