City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Nerchinskiy Zavod,RU,68.99,broken clouds,51.3088,119.61,Tat'yana
536,Arica,CL,61.03,overcast clouds,-18.475,-70.3042,Hostal Jardin Del Sol
537,Whitehorse,CA,66.97,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
540,Nova Olimpia,BR,73.63,scattered clouds,-14.7972,-57.2881,Motel glamour
545,Zheleznodorozhnyy,RU,62.82,broken clouds,55.7503,38.0042,Hotel Dali
553,Muyezerskiy,RU,61.16,overcast clouds,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
555,Khalkhal,IR,67.37,clear sky,37.6189,48.5258,Khalkhal Tourist Hotel
556,Pokhara,NP,74.28,overcast clouds,28.2333,83.9833,Butterfly Lodge
557,Marau,BR,66.58,overcast clouds,-28.4492,-52.2,Hotel Pousada Tordilho Negro
560,Xuddur,SO,68.18,broken clouds,4.1213,43.8894,Banjanay Hotel
564,Nueva Loja,EC,69.6,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
565,Sidi Ali,DZ,71.85,scattered clouds,36.0998,0.4206,الغابة الترفيهية بورحمة
566,Soma,TR,67.87,scattered clouds,39.1855,27.6094,Hotel Labella
573,Murray Bridge,AU,64.44,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
577,Serpukhov,RU,62.87,scattered clouds,54.9214,37.4108,"Inn ""RUS"""
578,Sao Felix Do Xingu,BR,70.36,clear sky,-6.6447,-51.995,Rio Xingu Camping
579,Novotroitskaya,RU,73.35,clear sky,45.3267,41.5253,"Gostevoy Dom ""Zastava"""
580,Mahon,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
582,Lagoa,PT,68.61,few clouds,39.05,-27.9833,Casa Das Faias
585,Ponta Pora,BR,68.36,clear sky,-22.5361,-55.7256,Hotel Pousada do Bosque
586,Quirinopolis,BR,64.96,clear sky,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
588,San Juan De Los Morros,VE,70.39,overcast clouds,9.9115,-67.3538,Hotel La Montaña
590,Abha,SA,64.22,clear sky,18.2164,42.5053,Abha Hotel
591,Wenchi,GH,66.81,scattered clouds,7.7392,-2.1046,Ebenezer Hotel
593,Jales,BR,62.73,clear sky,-20.2689,-50.5458,Geraldelli Center Hotel
595,Lakes Entrance,AU,66.18,scattered clouds,-37.8811,147.981,The Esplanade Resort & Spa
605,Kita,ML,74.08,light rain,13.0349,-9.4895,Hôtel Chat Rouge
607,El Alto,PE,64.18,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
611,Madawaska,US,64.6,overcast clouds,47.3561,-68.3288,Best Western Plus Edmundston Hotel
612,Sainte-Anne-Des-Monts,CA,66.07,overcast clouds,49.124,-66.4924,Motel et restaurant Manoir sur Mer Enr.
